2023-07-25 21:07:445 INFO  HomePage :94 - Mouse hover and click on product Jackets
2023-07-25 21:07:391 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:560 INFO  HomePage :85 - Mouse hover on Tops
2023-07-25 21:07:185 INFO  HomePage :94 - Mouse hover and click on product Jackets
2023-07-25 21:07:41 INFO  WomenProduct :48 - Select sort by price filter Price
2023-07-25 21:07:799 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:24 INFO  HomePage :85 - Mouse hover on Tops
2023-07-25 21:07:520 INFO  HomePage :94 - Mouse hover and click on product Jackets
2023-07-25 21:07:596 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:786 INFO  HomePage :85 - Mouse hover on Tops
2023-07-25 21:07:416 INFO  HomePage :94 - Mouse hover and click on product Jackets
2023-07-25 21:07:203 INFO  WomenProduct :48 - Select sort by price filter Price
2023-07-25 21:07:220 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:368 INFO  HomePage :85 - Mouse hover on Tops
2023-07-25 21:07:635 INFO  HomePage :94 - Mouse hover and click on product Jackets
2023-07-25 21:07:778 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:932 INFO  HomePage :85 - Mouse hover on Tops
2023-07-25 21:07:160 INFO  HomePage :94 - Mouse hover and click on product Jackets
2023-07-25 21:07:727 INFO  WomenProduct :48 - Select sort by price filter Price
2023-07-25 21:07:819 INFO  MenProductPage :24 - Mouse hover on Cronus product
2023-07-25 21:07:991 INFO  MenProductPage :32 - Click on pant size[[ChromeDriver: chrome on windows (b4535fdb0effaaa9af47fcfb61a102dc)] -> xpath: (//div[@class='swatch-option text'])[1]]
2023-07-25 21:07:166 INFO  MenProductPage :43 - Click on Black colour[[ChromeDriver: chrome on windows (b4535fdb0effaaa9af47fcfb61a102dc)] -> xpath: (//div[@class='swatch-option color'])[1]]
2023-07-25 21:07:359 INFO  MenProductPage :54 - Mouse hover and click Add Cart button
2023-07-25 21:07:481 INFO  MenShoppingCartPage :34 - Click on shopping cart link[[ChromeDriver: chrome on windows (b4535fdb0effaaa9af47fcfb61a102dc)] -> xpath: //a[normalize-space()='shopping cart']]
2023-07-25 21:07:881 INFO  MenShoppingCartPage :54 - Getting text from : [[ChromeDriver: chrome on windows (b4535fdb0effaaa9af47fcfb61a102dc)] -> xpath: //td[@class='col item']//a[normalize-space()='Cronus Yoga Pant']]
2023-07-25 21:07:976 INFO  MenShoppingCartPage :65 - Getting text from : [[ChromeDriver: chrome on windows (b4535fdb0effaaa9af47fcfb61a102dc)] -> xpath: //dd[contains(text(),'32')]]
2023-07-25 21:07:350 INFO  HomePage :62 - Mouse hover on Gear menu
2023-07-25 21:07:420 INFO  HomePage :68 - Mouse hover and click on product Bags
2023-07-25 21:07:582 INFO  GearPage :58 - Click on Overnight Duffle bag[[ChromeDriver: chrome on windows (f8fb7f4dcc6630879bb3943f7424ad85)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-07-25 21:07:781 INFO  GearPage :64 - Getting text from : [[ChromeDriver: chrome on windows (f8fb7f4dcc6630879bb3943f7424ad85)] -> xpath: //span[@class='base']]
2023-07-25 21:07:105 INFO  GearPage :72 - Change Quantity3
2023-07-25 21:07:249 INFO  GearPage :78 - Click on Add to Cart[[ChromeDriver: chrome on windows (f8fb7f4dcc6630879bb3943f7424ad85)] -> xpath: //button[@id='product-addtocart-button']]
2023-07-25 21:07:935 INFO  GearPage :88 - Click on shopping cart[[ChromeDriver: chrome on windows (f8fb7f4dcc6630879bb3943f7424ad85)] -> xpath: //a[normalize-space()='shopping cart']]
2023-07-25 21:07:561 INFO  GearPage :109 - Change Qantity to5
2023-07-25 21:07:651 INFO  GearPage :115 - Click on Update Shopping Cart[[ChromeDriver: chrome on windows (f8fb7f4dcc6630879bb3943f7424ad85)] -> xpath: //span[normalize-space()='Update Shopping Cart']]
